197,266
414,70
650,3
57,898
945,640
932,756
732,673
288,331
955,257
704,266
810,932
441,695
210,888
630,753
791,287
441,784
278,459
1,778
567,372
888,188
844,601
308,580
756,73
866,943
393,721
211,531
975,839
259,365
544,366
229,855
303,46
382,244
756,494
946,553
818,192
79,428
328,269
400,709
82,31
857,377
672,888
619,34
33,476
384,756
898,834
795,756
119,634
970,71
816,654
377,585
54,681
393,284
0,28
48,429
504,297
791,447
836,780
491,849
276,746
369,194
37,404
351,348
286,907
381,411
35,372
82,42
86,473
63,384
760,696
547,439
567,866
376,654
208,20
918,23
279,975
455,951
381,112
384,390
567,548
813,619
975,370
749,368
140,914
165,853
567,913
847,464
685,393
103,441
558,472
550,927
347,909
113,393
830,596
827,408
767,801
385,746
496,613
480,289
678,381
888,66
717,940
178,330
23,564
925,205
349,327
596,992
354,798
403,749
7,393
989,623
165,186
970,340
753,767
651,650
723,54
371,975
753,138
968,397
975,406
265,573
946,917
759,975
477,953
290,504
608,929
751,898
859,625
826,598
719,476
534,25
888,440
449,270
106,897
618,464
441,434
93,485
191,497
749,566
290,814
888,835
347,130
821,393
888,296
179,384
437,643
335,165
663,658
838,143
126,973
99,187
380,342
544,85
784,880
808,940
78,757
462,619
173,619
623,282
655,112
371,199
398,650
756,604
161,940
323,393
49,308
774,642
631,984
962,466
417,642
974,449
133,309
623,619
579,646
146,647
889,614
612,865
940,666
698,227
979,774
154,486
124,320
713,26
146,50
10,469
925,848
770,888
23,794
578,888
41,898
76,643
753,290
529,694
433,428
828,382
97,510
74,900
236,509
470,382
207,732
970,8
761,18
44,957
502,371
646,763
393,513
154,802
320,894
825,266
743,686
422,529
642,223
339,382
888,749
96,165
867,339
99,688
567,599
605,495
371,722
792,694
271,642
236,843
377,348
378,888
674,614
820,529
349,968
546,620
955,154
834,705
236,878
781,888
377,18
844,902
712,450
500,238
371,346
273,337
393,948
937,959
596,382
393,29
382,101
813,315
567,185
667,846
534,170
143,421
568,968
790,718
308,776
272,42
221,572
844,692
741,92
147,631
19,754
360,866
804,968
54,812
122,690
393,600
469,942
567,352
947,830
272,595
898,203
285,297
572,805
432,158
89,309
703,767
369,618
168,452
914,142
511,974
976,596
749,246
204,371
16,310
466,659
202,121
251,767
56,416
518,320
393,21
382,642
511,787
971,107
126,644
611,888
556,649
529,567
612,719
158,512
832,644
225,393
295,948
154,983
14,663
17,441
310,510
872,382
393,811
121,214
674,475
157,90
648,266
471,642
43,208
933,684
845,619
975,824
903,393
619,624
175,643
846,973
749,184
689,749
567,394
619,632
42,769
716,70
900,932
773,898
851,102
174,516
496,349
808,515
612,460
753,459
614,287
762,466
165,157
756,570
236,756
443,42
934,54
222,756
873,706
428,191
393,60
59,165
898,950
121,932
740,436
650,127
619,154
768,572
953,313
114,435
441,706
683,991
51,777
307,640
23,473
148,393
402,55
671,636
3,614
863,945
766,707
457,605
455,738
654,289
627,914
968,329
275,132
671,846
614,679
192,619
753,614
400,596
662,619
4,975
988,744
524,846
946,154
317,745
115,948
860,441
567,46
696,93
545,91
489,589
371,320
540,449
987,846
42,768
333,3
590,898
371,28
38,105
550,230
362,749
891,567
408,267
607,940
870,106
612,393
211,981
309,696
914,567
927,39
739,846
94,371
742,957
128,152
192,420
510,260
664,384
567,633
755,864
441,534
499,755
756,1
618,423
32,23
556,110
871,402
756,858
435,952
300,914
201,428
680,450
792,609
754,846
608,228
543,753
895,294
809,382
556,408
449,446
72,185
424,320
478,747
586,346
167,382
69,888
977,158
371,910
898,172
437,793
965,371
54,393
675,389
293,106
106,392
554,974
756,175
665,654
371,61
154,896
909,165
567,393
619,490
217,916
632,58
799,120
40,888
505,888
215,673
154,707
393,756
510,357
582,402
970,961
600,256
369,182
641,518
756,844
165,888
239,755
80,192
949,849
42,756
37,23
579,596
892,785
932,972
785,624
448,830
129,898
534,552
687,745
888,396
866,822
273,302
377,846
185,584
281,384
746,348
158,499
596,466
785,234
696,42
888,691
155,844
789,311
287,908
67,543
415,152
765,811
756,438
646,953
393,243
836,441
594,185
482,682
312,408
883,612
381,846
53,522
297,383
831,391
104,261
967,653
604,311
284,732
183,888
52,416
211,152
573,359
918,350
801,363
861,191
725,834
104,617
263,443
711,551
546,428
46,806
145,953
208,305
107,754
468,212
510,450
534,980
958,619
614,474
866,856
645,324
151,262
42,299
233,320
937,562
986,185
912,968
616,932
629,846
879,754
729,399
375,830
62,395
936,710
472,863
753,409
520,441
911,544
371,356
441,15
241,948
877,873
519,119
291,888
846,131
905,809
542,391
211,925
569,124
451,777
529,391
115,874
864,216
688,790
956,567
706,758
166,120
888,159
921,957
24,714
635,371
353,472
384,484
831,597
81,267
20,487
964,755
693,371
756,563
32,249
647,379
400,842
549,633
537,547
518,481
682,724
404,731
618,154
969,371
293,991
377,373
996,561
77,236
996,154
764,754
753,717
866,728
837,615
